status,sort,user_created,date_created,user_updated,date_updated,chapter,section,title,actual_page,toc_page,url
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,5.3,Main Payment Page,43,5-6,/document/SMRH.Complete.Handbook.pdf#page=43
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 6,,Chapter 6: Value Adjustment,46,6-1,/document/SMRH.Complete.Handbook.pdf#page=46
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,6.1,Value Adjustment Steps,46,6-1,/document/SMRH.Complete.Handbook.pdf#page=46
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,6.2,Value Adjustment Detail Page,47,6-2,/document/SMRH.Complete.Handbook.pdf#page=47
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,Chapter 7,,Chapter 7: Other Obligations,50,7-1,/document/SMRH.Complete.Handbook.pdf#page=50
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.1,How to Report and Pay Lease Level Obligations,50,7-1,/document/SMRH.Complete.Handbook.pdf#page=50
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.1.1,"Reporting Rent, Minimum Royalty, Minimum Royalty Payable In Advance (MRPIA), Bonus and Deferred Bonus Payment Types",51,7-3,/document/SMRH.Complete.Handbook.pdf#page=51
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.1.2,Reporting Advance Royalty and Fair Market Value Payment Types ,53,7-4,/document/SMRH.Complete.Handbook.pdf#page=53
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.1.3,Reporting Contract Settlement Payment Type,54,7-5,/document/SMRH.Complete.Handbook.pdf#page=54
published,,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,137c91ed-c21a-419f-ba99-80c7d2fd5c7e,2022-04-25 17:00:00.158+00,,7.1.4,Recouping Recoupable Obligations,54,7-6,/document/SMRH.Complete.Handbook.pdf#page=54
