legacy_id,name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,sort,creation_date,last_update_date
"88048","West Virginia, Wayne","54099","WV","West Virginia","Wayne","Federal","Onshore","Federal onshore","County","County","","WV2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88038","Wisconsin, Taylor","55119","WI","Wisconsin","Taylor","Federal","Onshore","Federal onshore","County","County","","WI2Ta","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88052","Wyoming, Albany","56001","WY","Wyoming","Albany","Federal","Onshore","Federal onshore","County","County","","WY2Al","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88053","Wyoming, Big Horn","56003","WY","Wyoming","Big Horn","Federal","Onshore","Federal onshore","County","County","","WY2Bi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88054","Wyoming, Campbell","56005","WY","Wyoming","Campbell","Federal","Onshore","Federal onshore","County","County","","WY2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88055","Wyoming, Carbon","56007","WY","Wyoming","Carbon","Federal","Onshore","Federal onshore","County","County","","WY2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88056","Wyoming, Converse","56009","WY","Wyoming","Converse","Federal","Onshore","Federal onshore","County","County","","WY2Co","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88057","Wyoming, Crook","56011","WY","Wyoming","Crook","Federal","Onshore","Federal onshore","County","County","","WY2Cr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88058","Wyoming, Fremont","56013","WY","Wyoming","Fremont","Federal","Onshore","Federal onshore","County","County","","WY2Fr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88059","Wyoming, Goshen","56015","WY","Wyoming","Goshen","Federal","Onshore","Federal onshore","County","County","","WY2Go","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88060","Wyoming, Hot Springs","56017","WY","Wyoming","Hot Springs","Federal","Onshore","Federal onshore","County","County","","WY2Ho","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88061","Wyoming, Johnson","56019","WY","Wyoming","Johnson","Federal","Onshore","Federal onshore","County","County","","WY2Jo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88062","Wyoming, Laramie","56021","WY","Wyoming","Laramie","Federal","Onshore","Federal onshore","County","County","","WY2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88063","Wyoming, Lincoln","56023","WY","Wyoming","Lincoln","Federal","Onshore","Federal onshore","County","County","","WY2Li","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88064","Wyoming, Natrona","56025","WY","Wyoming","Natrona","Federal","Onshore","Federal onshore","County","County","","WY2Na","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88065","Wyoming, Niobrara","56027","WY","Wyoming","Niobrara","Federal","Onshore","Federal onshore","County","County","","WY2Ni","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88066","Wyoming, Park","56029","WY","Wyoming","Park","Federal","Onshore","Federal onshore","County","County","","WY2Pa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88251","Texas, Wilbarger","48487","TX","Texas","Wilbarger","Federal","Onshore","Federal onshore","County","County","","TX2Wi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88461","Texas, Wilson","48493","TX","Texas","Wilson","Federal","Onshore","Federal onshore","County","County","","TX2Wi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88067","Wyoming, Platte","56031","WY","Wyoming","Platte","Federal","Onshore","Federal onshore","County","County","","WY2Pl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88068","Wyoming, Sheridan","56033","WY","Wyoming","Sheridan","Federal","Onshore","Federal onshore","County","County","","WY2Sh","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88069","Wyoming, Sublette","56035","WY","Wyoming","Sublette","Federal","Onshore","Federal onshore","County","County","","WY2Su","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88070","Wyoming, Sweetwater","56037","WY","Wyoming","Sweetwater","Federal","Onshore","Federal onshore","County","County","","WY2Sw","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88071","Wyoming, Teton","56039","WY","Wyoming","Teton","Federal","Onshore","Federal onshore","County","County","","WY2Te","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88072","Wyoming, Uinta","56041","WY","Wyoming","Uinta","Federal","Onshore","Federal onshore","County","County","","WY2Ui","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88073","Wyoming, Washakie","56043","WY","Wyoming","Washakie","Federal","Onshore","Federal onshore","County","County","","WY2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"88074","Wyoming, Weston","56045","WY","Wyoming","Weston","Federal","Onshore","Federal onshore","County","County","","WY2We","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87371","Arkansas, Lee","05077","AR","Arkansas","Lee","Federal","Onshore","Federal onshore","County","County","","AR2Le","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87372","Arkansas, Lincoln","05079","AR","Arkansas","Lincoln","Federal","Onshore","Federal onshore","County","County","","AR2Li","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87373","Arkansas, Logan","05083","AR","Arkansas","Logan","Federal","Onshore","Federal onshore","County","County","","AR2Lo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87374","Arkansas, Madison","05087","AR","Arkansas","Madison","Federal","Onshore","Federal onshore","County","County","","AR2Ma","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87375","Arkansas, Montgomery","05097","AR","Arkansas","Montgomery","Federal","Onshore","Federal onshore","County","County","","AR2Mo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87376","Arkansas, Nevada","05099","AR","Arkansas","Nevada","Federal","Onshore","Federal onshore","County","County","","AR2Ne","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87377","Arkansas, Ouachita","05103","AR","Arkansas","Ouachita","Federal","Onshore","Federal onshore","County","County","","AR2Ou","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87378","Arkansas, Perry","05105","AR","Arkansas","Perry","Federal","Onshore","Federal onshore","County","County","","AR2Pe","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87379","Arkansas, Phillips","05107","AR","Arkansas","Phillips","Federal","Onshore","Federal onshore","County","County","","AR2Ph","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87380","Arkansas, Polk","05113","AR","Arkansas","Polk","Federal","Onshore","Federal onshore","County","County","","AR2Po","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87381","Arkansas, Pope","05115","AR","Arkansas","Pope","Federal","Onshore","Federal onshore","County","County","","AR2Po","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87382","Arkansas, Prairie","05117","AR","Arkansas","Prairie","Federal","Onshore","Federal onshore","County","County","","AR2Pr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87383","Arkansas, Scott","05127","AR","Arkansas","Scott","Federal","Onshore","Federal onshore","County","County","","AR2Sc","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87384","Arkansas, Sebastian","05131","AR","Arkansas","Sebastian","Federal","Onshore","Federal onshore","County","County","","AR2Se","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87385","Arkansas, Stone","05137","AR","Arkansas","Stone","Federal","Onshore","Federal onshore","County","County","","AR2St","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87386","Arkansas, Van Buren","05141","AR","Arkansas","Van Buren","Federal","Onshore","Federal onshore","County","County","","AR2Va","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87387","Arkansas, Washington","05143","AR","Arkansas","Washington","Federal","Onshore","Federal onshore","County","County","","AR2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87388","Arkansas, White","05145","AR","Arkansas","White","Federal","Onshore","Federal onshore","County","County","","AR2Wh","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87389","Arkansas, Yell","05149","AR","Arkansas","Yell","Federal","Onshore","Federal onshore","County","County","","AR2Ye","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87425","California, Sutter","06101","CA","California","Sutter","Federal","Onshore","Federal onshore","County","County","","CA2Su","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87426","California, Trinity","06105","CA","California","Trinity","Federal","Onshore","Federal onshore","County","County","","CA2Tr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87427","California, Tulare","06107","CA","California","Tulare","Federal","Onshore","Federal onshore","County","County","","CA2Tu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
