legacy_id,creation_date,last_update_date,name,sort,mineral_lease_type,product
"15292","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Geothermal","Geoth","Oil & Gas","Geothermal - Electrical Generation (Thousands of Pounds)"
"15293","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Helium","Heliu","Oil & Gas","Helium"
"15294","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Natural gas liquids","Natur","Oil & Gas","Gas Plant Products"
"15295","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Asphaltic Crude"
"15296","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Black Wax Crude"
"15297","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Condensate"
"15298","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Condensate (bbl)"
"15299","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Drip or Scrubber Condensate"
"15300","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Drip or Scrubber Condensate (bbl)"
"15301","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Fuel Oil"
"15302","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Inlet Scrubber"
"15303","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Inlet Scrubber (bbl)"
"15304","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Oil"
"15305","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Oil Lost"
"15306","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Other Liquid Hydrocarbons"
"15307","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Sour Crude"
"15308","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Sweet Crude"
"15309","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Oil & Gas","Yellow Wax Crude"
"15312","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Other","Other","Oil & Gas",""
"15313","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sodium","Sodiu","Oil & Gas","Salt"
"15314","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Sulfur","Sulfu","Oil & Gas","Sulfur"
"15316","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Phosphate","Phosp","Phosphate",""
"15317","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Phosphate","Phosp","Phosphate","Ferro Phosphorous Slag"
"15318","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Phosphate","Phosp","Phosphate","Phosphate Concentrate"
"15319","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Phosphate","Phosp","Phosphate","Phosphate Raw Ore"
"15206","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Not tied to a commodity","ZZZ","",""
"15320","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Oil","1","Potassium","Oil"
"15321","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Phosphate","Phosp","Potassium","Potassium Sulphate-Standard"
"15322","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium",""
"15323","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Anhydrous Sodium Sulfate"
"15324","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Borax-Decahydrate"
"15325","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Borax-Pentahydrate"
"15326","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Boric Acid"
"15327","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Granulated Langeinite"
"15328","2025-02-19T18:29:32.442515+00:00","2025-02-19T18:29:32.442515+00:00","Potassium","Potas","Potassium","Langbeinite"
