legacy_commodity_id,duplicate_no,legacy_fund_id,legacy_location_id,legacy_period_id,amount,unit,unit_abbr
15529,1,4167,87324,1760286,400,"dollars","$"
15530,1,2607,87324,1760286,-2023.3,"dollars","$"
15530,1,2616,87324,1760286,881742.15,"dollars","$"
15530,1,2618,87324,1760286,-8093.2,"dollars","$"
15530,1,2633,87324,1760286,220615.76,"dollars","$"
15530,1,2647,87324,1760286,-183.12,"dollars","$"
15530,1,3778,87324,1760286,-64207.27,"dollars","$"
15531,1,2616,87324,1760286,61281.41,"dollars","$"
15531,1,2633,87324,1760286,15320.36,"dollars","$"
15532,1,3794,87324,1760286,94.5,"dollars","$"
15532,1,3795,87324,1760286,0,"dollars","$"
15533,2,2607,87324,1760286,-4934.67,"dollars","$"
15533,1,2616,87324,1760286,869081.46,"dollars","$"
15533,1,2618,87324,1760286,-19738.88,"dollars","$"
15533,1,2633,87324,1760286,217273.19,"dollars","$"
15533,1,3778,87324,1760286,-6112.18,"dollars","$"
15535,1,2607,87324,1760286,293.56,"dollars","$"
15535,1,2616,87324,1760286,166954.63,"dollars","$"
15535,1,2618,87324,1760286,1174.27,"dollars","$"
15535,1,2633,87324,1760286,41738.67,"dollars","$"
15535,1,3778,87324,1760286,-680.5,"dollars","$"
15538,1,2607,87324,1760286,468.5,"dollars","$"
15538,1,2633,87324,1760286,363124.88,"dollars","$"
15538,1,2647,87324,1760286,19752.25,"dollars","$"
15543,1,2639,87324,1760286,1482.8,"dollars","$"
15543,1,2647,87324,1760286,370.7,"dollars","$"
15543,1,3778,87324,1760286,160,"dollars","$"
15544,2,2607,87324,1760286,84282.33,"dollars","$"
15544,1,2616,87324,1760286,14056433.11,"dollars","$"
15544,1,2618,87324,1760286,336673.43,"dollars","$"
15544,1,2633,87324,1760286,3541188.45,"dollars","$"
15544,1,2639,87324,1760286,10576.8,"dollars","$"
15544,2,2647,87324,1760286,8251.2,"dollars","$"
15544,1,3778,87324,1760286,4852.5,"dollars","$"
15544,1,3791,87324,1760286,63048.38,"dollars","$"
15544,1,3794,87324,1760286,15.12,"dollars","$"
15547,1,2607,87324,1760286,439.44,"dollars","$"
15547,1,2616,87324,1760286,60737698.4,"dollars","$"
15547,1,2618,87324,1760286,1750.79,"dollars","$"
15547,1,2633,87324,1760286,18114515.83,"dollars","$"
15547,1,3783,87324,1760286,10765.34,"dollars","$"
15547,1,3788,87324,1760286,16189.68,"dollars","$"
15547,1,3791,87324,1760286,5912635.83,"dollars","$"
15549,1,2607,87324,1760286,57194.72,"dollars","$"
15549,1,2616,87324,1760286,175137630.81,"dollars","$"
15549,1,2618,87324,1760286,7605.8,"dollars","$"
15549,1,2633,87324,1760286,49156510.76,"dollars","$"
15549,1,3783,87324,1760286,68100.99,"dollars","$"
15549,1,3788,87324,1760286,135198.51,"dollars","$"
15549,1,3791,87324,1760286,18925087.48,"dollars","$"
15206,2,2607,87324,1764289,445251.22,"dollars","$"
15206,1,2633,87324,1764289,6674411.77,"dollars","$"
15524,1,3791,87324,1764289,346033.69,"dollars","$"
15528,1,3791,87324,1764289,67010.41,"dollars","$"
15529,2,2607,87324,1764289,-1353184.61,"dollars","$"
15529,1,2616,87324,1764289,1687475.62,"dollars","$"
15529,1,2618,87324,1764289,-7277553.87,"dollars","$"
15529,1,2633,87324,1764289,438890.95,"dollars","$"
15529,1,2639,87324,1764289,-4236.82,"dollars","$"
15529,2,2647,87324,1764289,49842.79,"dollars","$"
15529,1,3778,87324,1764289,141127.85,"dollars","$"
15529,1,3783,87324,1764289,339.55,"dollars","$"
15529,1,3785,87324,1764289,1071.78,"dollars","$"
15529,1,3788,87324,1764289,11.58,"dollars","$"
15529,1,3790,87324,1764289,-431.59,"dollars","$"
15529,1,3791,87324,1764289,40920.14,"dollars","$"
15529,1,3794,87324,1764289,1106968.98,"dollars","$"
15529,1,3795,87324,1764289,1146.01,"dollars","$"
15529,1,4167,87324,1764289,3284,"dollars","$"
15529,1,8020,87324,1764289,10640,"dollars","$"
15530,2,2607,87324,1764289,620.05,"dollars","$"
15530,1,2616,87324,1764289,303706.14,"dollars","$"
15530,1,2618,87324,1764289,2480.2,"dollars","$"
15530,1,2633,87324,1764289,76062.84,"dollars","$"
15530,1,2647,87324,1764289,-137.21,"dollars","$"
