legacy_commodity_id,duplicate_no,legacy_location_id,legacy_period_id,volume,unit,unit_abbr
15399,1,88076,25940,6693461,"bbl","bbl"
15400,1,88076,25940,30887012,"mcf","mcf"
15398,1,88076,25941,701497,"tons","tons"
15399,1,88076,25941,5905854,"bbl","bbl"
15400,1,88076,25941,27929075,"mcf","mcf"
15398,1,88076,25942,827534,"tons","tons"
15399,1,88076,25942,6974018,"bbl","bbl"
15400,1,88076,25942,32272552,"mcf","mcf"
15398,1,88076,25943,815363,"tons","tons"
15399,1,88076,25943,7411516,"bbl","bbl"
15400,1,88076,25943,32038955,"mcf","mcf"
15398,1,88076,25944,1223737,"tons","tons"
15399,1,88076,25944,7712847,"bbl","bbl"
15400,1,88076,25944,32829975,"mcf","mcf"
15398,1,88076,25945,1024930,"tons","tons"
15399,1,88076,25945,7212132,"bbl","bbl"
15400,1,88076,25945,31745838,"mcf","mcf"
15398,1,88076,25946,1200779,"tons","tons"
15399,1,88076,25946,7334552,"bbl","bbl"
15400,1,88076,25946,32357949,"mcf","mcf"
15398,1,88076,25947,1444528,"tons","tons"
15399,1,88076,25947,7478365,"bbl","bbl"
15400,1,88076,25947,32559236,"mcf","mcf"
15398,1,88076,25948,1182334,"tons","tons"
15399,1,88076,25948,7627284,"bbl","bbl"
15400,1,88076,25948,32051094,"mcf","mcf"
15398,1,88076,25949,1252350,"tons","tons"
15399,1,88076,25949,7847402,"bbl","bbl"
15400,1,88076,25949,33013941,"mcf","mcf"
15398,1,88076,25950,1487964,"tons","tons"
15399,1,88076,25950,7851644,"bbl","bbl"
15400,1,88076,25950,31809145,"mcf","mcf"
15398,1,88076,25951,1368888,"tons","tons"
15399,1,88076,25951,8012649,"bbl","bbl"
15400,1,88076,25951,32923512,"mcf","mcf"
15398,1,88076,25952,1150322,"tons","tons"
15399,1,88076,25952,8119000,"bbl","bbl"
15400,1,88076,25952,32285306,"mcf","mcf"
15398,1,88076,25953,1113086,"tons","tons"
15399,1,88076,25953,7219937,"bbl","bbl"
15400,1,88076,25953,28730707,"mcf","mcf"
15398,1,88076,25954,1290071,"tons","tons"
15399,1,88076,25954,8430083,"bbl","bbl"
15400,1,88076,25954,33071602,"mcf","mcf"
15398,1,88076,25955,1556977,"tons","tons"
15399,1,88076,25955,8277079,"bbl","bbl"
15400,1,88076,25955,33248202,"mcf","mcf"
15398,1,88076,25956,1347300,"tons","tons"
15399,1,88076,25956,8584999,"bbl","bbl"
15400,1,88076,25956,34066562,"mcf","mcf"
15398,1,88076,25957,1002502,"tons","tons"
15399,1,88076,25957,8760032,"bbl","bbl"
15400,1,88076,25957,33494794,"mcf","mcf"
15398,1,88076,25958,906463,"tons","tons"
15399,1,88076,25958,9337839,"bbl","bbl"
15400,1,88076,25958,35099102,"mcf","mcf"
15398,1,88076,25959,1341162,"tons","tons"
15399,1,88076,25959,9342316,"bbl","bbl"
15400,1,88076,25959,35361868,"mcf","mcf"
15398,1,88076,25960,847728,"tons","tons"
15399,1,88076,25960,9429197,"bbl","bbl"
15400,1,88076,25960,35241472,"mcf","mcf"
15398,1,88076,25961,711302,"tons","tons"
15399,1,88076,25961,10241131,"bbl","bbl"
15400,1,88076,25961,36946818,"mcf","mcf"
15398,1,88076,25962,552751,"tons","tons"
15399,1,88076,25962,10157646,"bbl","bbl"
15400,1,88076,25962,35864196,"mcf","mcf"
15398,1,88076,25963,540830,"tons","tons"
15399,1,88076,25963,10172551,"bbl","bbl"
15400,1,88076,25963,36052692,"mcf","mcf"
15398,1,88076,25964,607705,"tons","tons"
15399,1,88076,25964,9306543,"bbl","bbl"
15400,1,88076,25964,34946159,"mcf","mcf"
15398,1,88076,25965,466920,"tons","tons"
15399,1,88076,25965,8864753,"bbl","bbl"
15400,1,88076,25965,33221533,"mcf","mcf"
15398,1,88076,25966,569826,"tons","tons"
15399,1,88076,25966,9193187,"bbl","bbl"
15400,1,88076,25966,34975491,"mcf","mcf"
15398,1,88076,25967,582654,"tons","tons"
15399,1,88076,25967,7902196,"bbl","bbl"
15400,1,88076,25967,31396674,"mcf","mcf"
15398,1,88076,25968,380998,"tons","tons"
15399,1,88076,25968,5594482,"bbl","bbl"
15400,1,88076,25968,27646761,"mcf","mcf"
15398,1,88076,25969,324627,"tons","tons"
15399,1,88076,25969,7022945,"bbl","bbl"
15400,1,88076,25969,28920651,"mcf","mcf"
15398,1,88076,25970,456822,"tons","tons"
15399,1,88076,25970,7577752,"bbl","bbl"
15400,1,88076,25970,30287642,"mcf","mcf"
15398,1,88076,25971,811777,"tons","tons"
15399,1,88076,25971,7842794,"bbl","bbl"
15400,1,88076,25971,31196667,"mcf","mcf"
15398,1,88076,25972,486541,"tons","tons"
15399,1,88076,25972,7625518,"bbl","bbl"
15400,1,88076,25972,30575043,"mcf","mcf"
15398,1,88076,25973,681669,"tons","tons"
15399,1,88076,25973,8114274,"bbl","bbl"
15400,1,88076,25973,31729465,"mcf","mcf"
15398,1,88076,25974,506081,"tons","tons"
15399,1,88076,25974,8251765,"bbl","bbl"
15400,1,88076,25974,31305632,"mcf","mcf"
15398,1,88076,25975,420167,"tons","tons"
15399,1,88076,25975,8110259,"bbl","bbl"
15400,1,88076,25975,31655938,"mcf","mcf"
15398,1,88076,25976,608236,"tons","tons"
15399,1,88076,25976,7997848,"bbl","bbl"
15400,1,88076,25976,31449394,"mcf","mcf"
15398,1,88076,25977,248471,"tons","tons"
15399,1,88076,25977,6302740,"bbl","bbl"
15400,1,88076,25977,26295579,"mcf","mcf"
15398,1,88076,25978,445654,"tons","tons"
15399,1,88076,25978,6971585,"bbl","bbl"
15400,1,88076,25978,31138949,"mcf","mcf"
15398,1,88076,25979,443191,"tons","tons"
15399,1,88076,25979,6720805,"bbl","bbl"
15400,1,88076,25979,30151445,"mcf","mcf"
15398,1,88076,25980,217087,"tons","tons"
15399,1,88076,25980,7167918,"bbl","bbl"
15400,1,88076,25980,31480505,"mcf","mcf"
15398,1,88076,25981,636423,"tons","tons"
15399,1,88076,25981,7497324,"bbl","bbl"
15400,1,88076,25981,30622601,"mcf","mcf"
15398,1,88076,25982,637267,"tons","tons"
15399,1,88076,25982,7066203,"bbl","bbl"
15400,1,88076,25982,30504156,"mcf","mcf"
15398,1,88076,25983,329302,"tons","tons"
15399,1,88076,25983,7633077,"bbl","bbl"
15400,1,88076,25983,31100768,"mcf","mcf"
15398,1,88076,25984,516764,"tons","tons"
15399,1,88076,25984,7762345,"bbl","bbl"
15400,1,88076,25984,31074543,"mcf","mcf"
15398,1,88076,25985,528526,"tons","tons"
15399,1,88076,25985,8066850,"bbl","bbl"
15400,1,88076,25985,31974704,"mcf","mcf"
15398,1,88076,25986,400951,"tons","tons"
15399,1,88076,25986,7768439,"bbl","bbl"
15400,1,88076,25986,31299419,"mcf","mcf"
15398,1,88076,25987,513215,"tons","tons"
15399,1,88076,25987,7456423,"bbl","bbl"
15400,1,88076,25987,30860903,"mcf","mcf"
15398,1,88076,25988,568958,"tons","tons"
15399,1,88076,25988,7031897,"bbl","bbl"
15400,1,88076,25988,29873945,"mcf","mcf"
15398,1,88076,25989,491451,"tons","tons"
15399,1,88076,25989,6278396,"bbl","bbl"
15400,1,88076,25989,26995872,"mcf","mcf"
15398,1,88076,25990,649954,"tons","tons"
15399,1,88076,25990,6710840,"bbl","bbl"
15400,1,88076,25990,30117389,"mcf","mcf"
15398,1,88076,25991,530553,"tons","tons"
15399,1,88076,25991,5539785,"bbl","bbl"
15400,1,88076,25991,27024890,"mcf","mcf"
15398,1,88076,25992,598744,"tons","tons"
15399,1,88076,25992,6745680,"bbl","bbl"
15400,1,88076,25992,29596444,"mcf","mcf"
15398,1,88076,25993,737064,"tons","tons"
15399,1,88076,25993,6759221,"bbl","bbl"
15400,1,88076,25993,29130670,"mcf","mcf"
15398,1,88076,25994,656987,"tons","tons"
15399,1,88076,25994,6810032,"bbl","bbl"
15400,1,88076,25994,29919598,"mcf","mcf"
15398,1,88076,25995,804520,"tons","tons"
15399,1,88076,25995,6814723,"bbl","bbl"
15400,1,88076,25995,30084025,"mcf","mcf"
15398,1,88076,25996,576935,"tons","tons"
15399,1,88076,25996,6577377,"bbl","bbl"
15400,1,88076,25996,28862547,"mcf","mcf"
15398,1,88076,25997,569432,"tons","tons"
15399,1,88076,25997,6980489,"bbl","bbl"
15400,1,88076,25997,29917303,"mcf","mcf"
15398,1,88076,25998,607974,"tons","tons"
15399,1,88076,25998,6515417,"bbl","bbl"
15400,1,88076,25998,28270848,"mcf","mcf"
15398,1,88076,25999,641217,"tons","tons"
15399,1,88076,25999,5709976,"bbl","bbl"
15400,1,88076,25999,27383157,"mcf","mcf"
15398,1,88076,26000,706656,"tons","tons"
15399,1,88076,26000,6072078,"bbl","bbl"
15400,1,88076,26000,28285908,"mcf","mcf"
15398,1,88076,26001,565500,"tons","tons"
15399,1,88076,26001,5707439,"bbl","bbl"
15400,1,88076,26001,25872346,"mcf","mcf"
15398,1,88076,26002,512160,"tons","tons"
15399,1,88076,26002,6210734,"bbl","bbl"
15400,1,88076,26002,28623785,"mcf","mcf"
15398,1,88076,26003,660004,"tons","tons"
15399,1,88076,26003,5868715,"bbl","bbl"
15400,1,88076,26003,28619792,"mcf","mcf"
15398,1,88076,26004,447970,"tons","tons"
15399,1,88076,26004,6166300,"bbl","bbl"
15400,1,88076,26004,30107344,"mcf","mcf"
15398,1,88076,26005,694492,"tons","tons"
15399,1,88076,26005,5814693,"bbl","bbl"
15400,1,88076,26005,28735502,"mcf","mcf"
15398,1,88076,26006,690350,"tons","tons"
15399,1,88076,26006,5907936,"bbl","bbl"
15400,1,88076,26006,29766512,"mcf","mcf"
15398,1,88076,26007,752954,"tons","tons"
15399,1,88076,26007,5957010,"bbl","bbl"
15400,1,88076,26007,29328970,"mcf","mcf"
15398,1,88076,27462,476298,"tons","tons"
15399,1,88076,27462,6045217,"bbl","bbl"
15400,1,88076,27462,28730875,"mcf","mcf"
15398,1,88076,37455,625178,"tons","tons"
15399,1,88076,37455,6202619,"bbl","bbl"
15400,1,88076,37455,29462694,"mcf","mcf"
15398,1,88076,40874,462029,"tons","tons"
15399,1,88076,40874,6091226,"bbl","bbl"
15400,1,88076,40874,28401249,"mcf","mcf"
15398,1,88076,44237,219702,"tons","tons"
15399,1,88076,44237,6316446,"bbl","bbl"
15400,1,88076,44237,29669217,"mcf","mcf"
15398,1,88076,49575,494348,"tons","tons"
15399,1,88076,49575,5505124,"bbl","bbl"
15400,1,88076,49575,27042965,"mcf","mcf"
15398,1,88076,68166,624662,"tons","tons"
15399,1,88076,68166,6010719,"bbl","bbl"
15400,1,88076,68166,27138306,"mcf","mcf"
15398,1,88076,1129209,580643,"tons","tons"
15399,1,88076,1129209,6191101,"bbl","bbl"
15400,1,88076,1129209,28957590,"mcf","mcf"
15398,1,88076,1147867,401356,"tons","tons"
15399,1,88076,1147867,6195665,"bbl","bbl"
15400,1,88076,1147867,28197883,"mcf","mcf"
15398,1,88076,1151233,522568,"tons","tons"
15399,1,88076,1151233,6257550,"bbl","bbl"
15400,1,88076,1151233,29002404,"mcf","mcf"
15398,1,88076,1154670,319776,"tons","tons"
15399,1,88076,1154670,6146144,"bbl","bbl"
15400,1,88076,1154670,27497170,"mcf","mcf"
15398,1,88076,1158096,625693,"tons","tons"
15399,1,88076,1158096,6702661,"bbl","bbl"
15400,1,88076,1158096,29083441,"mcf","mcf"
15398,1,88076,1161475,471268,"tons","tons"
15399,1,88076,1161475,6950396,"bbl","bbl"
15400,1,88076,1161475,29559545,"mcf","mcf"
15398,1,88076,1164918,354897,"tons","tons"
15399,1,88076,1164918,6538705,"bbl","bbl"
15400,1,88076,1164918,28559870,"mcf","mcf"
15398,1,88076,1170176,406262,"tons","tons"
15399,1,88076,1170176,6329406,"bbl","bbl"
15400,1,88076,1170176,28693155,"mcf","mcf"
15398,1,88076,1173595,422513,"tons","tons"
15399,1,88076,1173595,6635427,"bbl","bbl"
15400,1,88076,1173595,28537327,"mcf","mcf"
15398,1,88076,1177003,327261,"tons","tons"
15399,1,88076,1177003,6338068,"bbl","bbl"
15400,1,88076,1177003,29784009,"mcf","mcf"
15398,1,88076,1751538,360847,"tons","tons"
15399,1,88076,1751538,6660079,"bbl","bbl"
15400,1,88076,1751538,29865105,"mcf","mcf"
15398,1,88076,1756855,92760,"tons","tons"
15399,1,88076,1756855,5830702,"bbl","bbl"
15400,1,88076,1756855,26980042,"mcf","mcf"
15398,1,88076,1760286,232276,"tons","tons"
15399,1,88076,1760286,6433236,"bbl","bbl"
15400,1,88076,1760286,30477775,"mcf","mcf"
15398,1,88076,1764289,377875,"tons","tons"
15399,1,88076,1764289,5850577,"bbl","bbl"
15400,1,88076,1764289,29523465,"mcf","mcf"
15398,1,88076,1961261,374487,"tons","tons"
15399,1,88076,1961261,5467778,"bbl","bbl"
